SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MP,,212027,"ARRUELA LISA INOX 1/4""",,Almox Prod Especiais
MP,,212039,"ARRUELA LISA INOX DE 1/8""",,Almox Prod Especiais
MP,,212042,ARRUELA TRAVA DF 6MM,,Almox Prod Especiais
MP,,212043,ARRUELA TRAVA DF 12MM,,Almox Prod Especiais
MP,,212052,"ARRUELA LISA INOX - 3/8""",,Almox Prod Especiais
MP,,212053,"ARRUELA LISA INOX - 1/2""",,Almox Prod Especiais
MP,,212057,"ARRUELA LISA INOX - 5/8""",,Almox Prod Especiais
MP,,212091,"ARRUELA LISA 3/8"" ZB CHAPA 1,5MM",,Almox Prod Especiais
MP,,212092,"ARRUELA LISA 1/2"" CHAPA 1/8"" ZB OU ZA",,Almox Prod Especiais
MP,,212095,"ARRUELA LISA 1"" CH 3/16""",,Almox Prod Especiais
MP,,212096,"ARRUELA LISA ZB 5/16"" EXP. 1,5 MM",,Almox Prod Especiais
MP,,212097,"ARRUELA LISA 5/8"" GALV # 1/8""",,Almox Prod Especiais
MP,,212098,"ARRUELA LISA 1/4"" GALV",,Almox Prod Especiais
MP,,212099,"ARRUELA LISA 1/2"" ZB CHANFRA. # 1/8""",,Almox Prod Especiais
MP,,212245,"ARR. DE PRES. MÉDIA - ZB 1/8""",,Almox Prod Especiais
MP,,212260,"ARR. DE PRES. MÉDIA INOX 3/8""",,Almox Prod Especiais
MP,,212261,"ARR. DE PRES. MÉDIA INOX 1/8""",,Almox Prod Especiais
MP,,212263,"ARR. DE PRES. MÉDIA INOX 1/4""",,Almox Prod Especiais
MP,,212264,"ARR. DE PRES. MÉDIA INOX 5/16""",,Almox Prod Especiais
MP,,212313,"ARR. DE PRES. PESADA ZB 1/2""",,Almox Prod Especiais
MP,,212507,"ARR. DE PRES. MÉDIA - ZB 1/4""",,Almox Prod Especiais
MP,,212600,"ARR. DE PRES. MÉDIA - ZB 3/8""",,Almox Prod Especiais
MP,,212611,"ARR. DE PRES. MÉDIA - ZB 7/8""",,Almox Prod Especiais
MP,,213215,CANALETA 30 X 30 HD-2P,,Almox Prod Especiais
MP,,213366,ELETRODUTO SPIRAFLEX 1/2,,Almox Prod Especiais
MP,,213408,CAIXA DE PASSAGEM,,Almox Prod Especiais
MP,,213433,"ELETRODUTO SPIRAFLEX 3/4""",,Almox Prod Especiais
MP,,213598,"ABRACADEIRA S/FIM 2.1/2"" A 3""",,Almox Prod Especiais
MP,,213601,"ABRACADEIRA S/FIM 3/4"" A 1""",,Almox Prod Especiais
MP,,213605,"ABRACADEIRA P/ MANGOTE 79/87 MM 3""",,Almox Prod Especiais
