SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
AL01 - GAV,G02,641935,BROCA CONICA 21/32     DIN 345 (Un),,Central
AL01 - GAV,G02,641728,BROCA CONICA 13/32     DIN 345 (Un),,Central
AL01 - EST,CH,200048,KIT FREIO A DISCO COMPLETO ENC. TRIPLO (Un),,Central
AL01 - EST,CH,268408,PNEU 4.80/4.00X8 LEV B (CÓD.14749) (Un),,Central
AL01 - EST,CH,700459,GAVETA NR 7 P/ ESTANTE METÁLICA (Un),,Central
AL01 - GAV,G01,643506,BROCA TOPO 1/4      4 NAVALHAS (Un),,Central
AL01 - COR,B34,282164,"REBITE REPUXO DE ALUMINIO 6,2 x 21MM (Un)",,Central
AL01 - EST,PJ04,222425,CABEÇOTE GUIA C/ VED. CN 050X040X028  + EMBOLO C/ VED. 040X015X040 + PORCA AUTO TRAVANTE M14X1.50 REF. CÓD. 222422 (Un),,Central
AL01 - EST,PJ04,222432,TUBO TCH 072X060X06 ST52 BRUN 237MM REF. CÓD. 222422 (Un),,Central
AL01 - EST,CH,200411,DISCO TECNIL 280 X 30MM P/ MÁQ. DE COLHEITA (Un),,Central
AL01 - EPI,CH,700038,BOTA 7 LEG CAPATAZ ALPARGATAS (Un),,Central
AL01 - GAV,GT08,645450,MACHO OSG 5/8 UNC 100A DIN351 (Un),,Central
AL01 - GAV,GT08,645760,MACHO 1/2 UNC DIN2183,,Central
AL01 - GAV,GT08,645060,MACHO 7/16 NF DIN2183,,Central
AL01 - GAV,GT08,645102,MACHO MANUAL OSG 1/4 UNF 100B DIN351 (Un),,Central
AL01 - GAV,GT08,645725,MACHO MANUAL 3/16 UNF 32F (Un),,Central
AL01 - GAV,GT08,645012,MACHO MÁQUINA HELICOIDAL 1/4 UNF DIN2182,,Central
AL01 - GAV,GT08,645072,MACHO 1/2 UNF DIN2183,,Central
AL01 - GAV,GT08,645009,MACHO 3/8 NPT   E,,Central
AL01 - GAV,GT08,600056,PONTA ÚNICA DIAMANTADA TIPO ROCKWELL 120º (Un),,Central
AL01 - GAV,G01,641662,BROCA AR  7/32 HAST.CIL.DIN338 (Un),,Central
AL01 - GAV,G01,643417,"BROCA FRESA DE TOPO 8,00MM 2 NAVALHAS METAL DURO (Un)",,Central
AL01 - GAV,G01,509182,BROCA SDS PLUS 12 X 160 MM (Un),,Central
AL01 - GAV,G01,509001,BROCA DE WIDIA 9/16 14MM (Un),,Central
AL06 - CARPINTARIA,,116612,COMP. NAVAL SOMASSOALHO 3070 X 450 X 20MM (Un),,Central
AL06 - CARPINTARIA,,116621,COMP. NAVAL SOMASSOALHO 3930 X 327 X 20MM (Un),,Central
AL06 - CARPINTARIA,,116624,COMP. NAVAL SOMASSOALHO 1790 X 600 X 20MM (Un),,Central
AL04 - CHA,,120134,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300 (KG)",,Central
AL04 - CHA,,120134IMP,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300 IMP (KG)",,Central
AL04 - CHA,,120136,"BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300 (KG)",,Central
AL04 - CHA,,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300 (KG)",,Central
AL04 - CHA,,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300 (KG)",,Central
AL04 - CHA,,120376,"CHAPA GQ 1 (25,4) 1010/1020 (KG)",,Central
AL04 - CHA,,120509,"CHAPA GQ   3/4 (19,0)     1010 (KG)",,Central
AL04 - CHA,,120545,BOBINA CHAPA LQ 3.00 X 1500 A36/CIVIL300 (KG),,Central
AL04 - CHA,,120547,BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300 (KG),,Central
AL04 - CHA,,120549,BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300 (KG),,Central
