SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
NÃO EXISTE,,504857,TINTA EPÓXI AMARELO SEG (L),"2,7",Central
AL01,,700334,CINTO ERGONOMICO (PROT LOMBAR) (Un),5,Central
AL01,,702052,VALVULA DE INALAÇÃO 3M (Un),15,Central
AL01,,702065,RESPIRADOR DESCARTÁVEL CARVÃO PFF1 CA448,9,Central
AL01,,702085,CARNEIRA S/CATRACA P/MASCARA SOLDADOR (Un),10,Central
AL01,,702038,LENTE ESCURA N 14 (Un),10,Central
AL01,,774498,,0,Central
NÃO EXISTE,,599348,,0,Central
NÃO EXISTE,,313125,SKYLACK ENDURECEDOR P/ PU 900ML (L),"1,8",Central
NÃO EXISTE,,599116,PÁ QUADRADA (Un),4,Central
NÃO EXISTE,,523456,SELO MECÂNICO 5/8 (Un),5,Central
AL04,,134111,,0,Central
AL03,,313192,TINTA EPOXI AZUL + CATALISADOR KIT (L),"172,8",Central
AL04,,134110,TUBO SCHEDULLE 40 ,14,Central
AL05,,268410,PNEU RODOV. 650 X16 CT52 6 Pr ,11,Central
AL05,,268501,PNEU RODOV. 700X16 CT52 10 Pr ,7,Central
NÃO EXISTE,,224398,CORREIA TRANS VM 9/2,2,Central
NÃO EXISTE,,200150,VALVULA RETEN. SIMP. 3/4 PISTAO 80LTS 350 BAR CÓD.08249 (Un),2,Central
NÃO EXISTE,,268407,PNEU 6.00,10,Central
NÃO EXISTE,,240621,BUCHA RED. F/M NPT 1.1/2X1 (Un),150,Central
AL01,PJ06,288205,ROLAMENTO YAR 204,111,Central
NÃO EXISTE,,222439,AÇO MT 40MM CROMADO SAE 1045 NORMAL 594MM CÓD. 7682 (Un),8,Central
AL01,PJ06,236224,ROLAMENTO 20MM P/ MANCAL DE FLANGE OVAL TIPO FL204 (Un),48,Central
NÃO EXISTE,,288207,ROLAMENTO YAR 205,16,Central
NÃO EXISTE,,236218,,0,Central
NÃO EXISTE,,222122,CABO CAN 1 NODO 5M CÓD. VBK50,2,Central
AL08,,200153,TUBO PVC RIG. SOLD. 75MM (M),"36,3",Central
AL01,AM07,238408,MOLA PARA APLICADOR TNT (Un),65,Central
AL04,,112834,AÇO RED. INOX 304 DE 5/16 (KG),40,Central
AL03,,313130,DILUENTE P/ EPOXI ALTA ESPES. CÓD.21000073 (L),65,Central
NÃO EXISTE,,232325,OLHAL ARTICULÁVEL SOLDÁVE 8 TON REF. 86WPL8 (Un),6,Central
NÃO EXISTE,,650302,"INS TDT 4.00 E 0,40 TT7220 (Un)",10,Central
NÃO EXISTE,,504864,CONTROLE REMOTO 3 COMANDOS 433MHZ (Un),3,Central
NÃO EXISTE,,569875,ALAVANCA PLM 600 (Un),3,Central
AL02,,299171,TERM. ENG. RÁPIDO REF. B250 6 ESTRIAS 1.3/8 (Un),10,Central
MANUTENÇÃO,,501270,ROLAMENTO 6201 ZZ (Un),132,Central
AL01,PJ06,288206,MANCAL APOIO FRM P204 (Un),34,Central
NÃO EXISTE,,501163,TUBEIRA P/ LAVADORA DE ALTA PRESSÃO HD 10/18 MAXI (Un),2,Central
NÃO EXISTE,,650311,INS TDC 4 ,10,Central
AL01,AM03,534857,BOCAL LEVE SB ME 135 15MM ME,20,Central
AL04,,134088,"TUBO QDR 20,00 X 20,00 X 1,50 (KG)",90,Central
