SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MP,,120893,CHAPA 20 (0.91) INOX-304,,Almox Corte e Estamparia
MP,,120900,"CHAPA FF #20 (0,91) 1010",,Almox Corte e Estamparia
MP,,120911,"CHAPA GQ 1/2 (12,7) A36/CIVIL300",,Almox Corte e Estamparia
MP,,120923,"CHAPA GQ 5/8 (15,8) A36/CIVIL300",,Almox Corte e Estamparia
MP,,120927,"CHAPA FQ #12 (1,50 x 2,55m) 1010",,Almox Corte e Estamparia
MP,,124060,ACO TREFILADO QDR 1/2 1045,,Almox Corte e Estamparia
MP,,126160,AÇO CHATO LAM 1/2 X 2.1/2 SAE-1020,,Almox Corte e Estamparia
MP,,126226,"AÇO CHATO LAM 5/8 X 3"" SAE-1020",,Almox Corte e Estamparia
MP,,126299,"AÇO CHATO LAM 5/16 X 2"" SAE-5160",,Almox Corte e Estamparia
MP,,126615,"AÇO CHATO LAM 3/4 X 2"" SAE-1020",,Almox Corte e Estamparia
MP,,126706,AÇO CHATO LAM 5/8 X 2.1/2 SAE-1020,,Almox Corte e Estamparia
MP,,126755,"AÇO CHATO LAM 1"" X 3"" SAE-1020",,Almox Corte e Estamparia
MP,,126901,AÇO CHATO LAM 3/4 X 3 SAE-1020,,Almox Corte e Estamparia
MP,,134018NAC,TUBO RETANGULAR 200 X 100 X 4.75,,Almox Corte e Estamparia
MP,,134023,"TUBO RET 100 X 50 X 3,00",,Almox Corte e Estamparia
MP,,134055NAC,TUBO QUADRADO 120 X 120 X 8.00,,Almox Corte e Estamparia
MP,,134132,TUBO MECANICO 32 X 20 ST-52,,Almox Corte e Estamparia
MP,,134157,TUBO MECANICO 50 X 32 ST-52,,Almox Corte e Estamparia
MP,,134170,"TUBO SCHEDULLE 80 - 1.1/2""",,Almox Corte e Estamparia
MP,,134900,"TUBO SCHEDULLE 40 - 3.1/2""",,Almox Corte e Estamparia
MP,,212097,"ARRUELA LISA 5/8"" GALV # 1/8""",,Almox Corte e Estamparia
MP,,226105,CORRENTE ELO 3/16 F. POLIDO,,Almox Corte e Estamparia
MP,,226208,CORRENTE ELO 5/16 F. POLIDO,,Almox Corte e Estamparia
MP,,260826,BUCHA FLUTUANTE PARA FEIXE DE MOLAS,,Almox Corte e Estamparia
MP,,274288,"PORCA SEX 5/8"" UNF ZB",,Almox Corte e Estamparia
