Códigos,Item,Local,Célula,Posição,Cod. Localização,Saldo,almoxarifado
509502, TROLLEY 4 FECHADO DROP 7,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,2,Central 
110528, ACO LAMINADO RED   3/4    1020 (KG),AL04,SER,,AL04-SER-,88,Central 
648674, BROCA LONGA AR  1/4  HAST.CIL.DIN338 (Un),AL01,GAV,G01,AL01-GAV-G01,9,Central 
112926, ACO INOX   RED 5 (KG),AL04,SER,,AL04-SER-,"15,4",Central 
700447, RADIO WALK TALK COMUNICADOR (Un),AL01,SL2,C05,AL01-SL2-C05,5,Central 
501051, ROLAMENTO 6207,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,12,Central 
545128, ACO LAMINADO RED 3.3/4  4340 (KG),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,"13,08",Central 
504712, KIT DE REPARO REGULADOR DE FLUIDO T,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1,Central 
599538, SUPORTE DO PRESSOSTATO DE AR HUBA ELCO (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,2,Central 
120558," CHAPA GQ 5/16 (7,94) A36/CIVIL300 (KG)",AL04,CHA,,AL04-CHA-,"3172,07",Central 
