Códigos,Item,Local,Célula,Posição,Cod. Localização,Saldo,almoxarifado
222120, MOTOR HIDRODINÂMICA SM53A3 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,6,Central 
222064," CAIXA TRANS. RELAÇÃO TRANS. DE 1:1,35 CÓD. BPN 174 (Un)",NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,4,Central 
240549, ADAPT. MACHO JIC 3/4 X 1/2 NPT (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1604,Central 
218467, PNEU  750X16 10 LONAS (Un),AL05,BORRACHARIA,,AL05-BORRACHARIA-,11,Central 
112264, AÇO RED. INOX 304 DE  1/4 (KG),AL04,SER,,AL04-SER-,265,Central 
222119, BOMBA HIDRODINÂMICA S33BB177 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,2,Central 
504632," BICO AF 5000 1,2MM REF. 2310542 (Un)",NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,3,Central 
134044, TUBO QDR. INOX AISI 304 50 X 3.00MM (M),AL04,SER,,AL04-SER-,54,Central 
504718, ASSENTO DE VALVULA MATERIAL AÇO CÓD. 2312179 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,3,Central 
501327, PEDAL DE SEGURANÇA ,MANUTENÇÃO,MANUTENÇÃO,,MANUTENÇÃO-MANUTENÇÃO-,3,Central 
505007, PINHAO TRANSVERSAL SWB P/N 16633 CÓD. 50007085 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,3,Central 
200410, GUIA UHMW EST. MÓVEL 6 X 60 X 3000MM ,AL01,EST,CH,AL01-EST-CH,71,Central 
500608, ADESIVO REMENDO KG (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,59,Central 
240243, MANG. A/P 3/8x1700MM TERM. RETO/90ºJIC 3/4 (Un),AL01,EST,CH,AL01-EST-CH,63,Central 
240248, MANG. A/P 3/8x 700MM TERM. RETO/90º JIC 3/4 (Un),AL01,EST,CH,AL01-EST-CH,153,Central 
